company,product,idea,industry,specialties,status,rating,published,article_url,latest_news_date,latest_news,notes
Abridge,Abridge,The enterprise leader in ambient clinical documentation.,Healthcare Administration & Revenue Cycle,Nursing; Health Administration,Already AI,4.6,2026-03-15,product.html?id=visitcopilot,,,
Absci,Absci,"Generative AI for antibody design, grounded in wet-lab data.",Pharma & Life Sciences,Drug Development,One to watch,4,2026-06-17,review.html?id=absci,,,
Abstractive Health,Abstractive Health,Automatic patient summaries from records nobody has time to read.,Primary & Ambulatory Care,Primary Care; Health Administration,One to watch,3.7,2026-08-02,review.html?id=abstractive-health,,,
Activ Surgical,Activ Surgical,Dye-free perfusion imaging that shows surgeons live blood flow.,Hospitals & Health Systems,Radiology; Dentistry; Surgery; Pharmacy,One to watch,3.8,2026-05-05,review.html?id=activ-surgical,,,
Ada Health,Ada,The most-downloaded symptom assessment app on earth.,Primary & Ambulatory Care,Emergency Medicine; Primary Care,Already AI,4.1,2026-04-12,review.html?id=ada-health,,,
Adonis,Adonis,Revenue-cycle intelligence that predicts the denial before submission.,Healthcare Administration & Revenue Cycle,Health Administration,One to watch,3.8,2026-07-20,review.html?id=adonis,,,
Aetion,Aetion,"Regulatory-grade real-world evidence, with the methods left visible.",Pharma & Life Sciences,Drug Development,One to watch,4,2026-05-07,review.html?id=aetion,,,
Aidoc,Aidoc,Enterprise-wide AI triage and care coordination across 20+ imaging findings.,Diagnostics & Imaging,Radiology; Cardiology; Neurology; Emergency Medicine,Already AI,4.6,2026-07-07,product.html?id=readrank,,,
Aignostics,Aignostics,Charité spin-out building pathology foundation models for drug development.,Diagnostics & Imaging,Radiology; Pathology; Oncology; Pharmacy,One to watch,4.1,2026-07-07,review.html?id=aignostics,,,
Airfinity,Airfinity,Predictive disease analytics for governments and life-science strategy.,Public & Population Health,Public Health,Already AI,4,2026-03-30,review.html?id=airfinity,,,
AKASA,AKASA,GenAI revenue-cycle automation trained on your own health system's data.,Healthcare Administration & Revenue Cycle,Health Administration,Already AI,4.2,2026-04-02,review.html?id=akasa,,,
Aktiia,Aktiia,"Cuffless, continuous blood-pressure monitoring from the wrist.",Medical Devices & MedTech,,Already AI,3.8,2026-07-30,review.html?id=aktiia,,,
Alaffia Health,Alaffia Health,AI auditing of the itemised bills nobody has time to read.,Payers & Health Insurance,Health Administration,One to watch,3.7,2026-08-07,review.html?id=alaffia-health,,,
